Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Default price,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [MCC],Price [MCC],In stock [MCC],Low stock [MCC],Available for sale [MOE],Price [MOE],In stock [MOE],Low stock [MOE],Available for sale [WareHouse],Price [WareHouse],In stock [WareHouse],Low stock [WareHouse],"Tax - ""VAT"" (5%)"
1-lyn,10009,1 Lyn,Etc,,N,,,,,,,variable,0.00,,,,N,N,variable,,,Y,variable,,,N,variable,,,Y
1-regine,10008,1 Regine,Etc,,N,,,,,,,variable,0.00,,,,N,Y,variable,,,N,variable,,,N,variable,,,Y
1-rose,10010,1 Rose,Etc,,N,,,,,,,variable,0.00,,,,N,N,variable,,,Y,variable,,,N,variable,,,Y
anklet,10005,Anklet,Etc,,N,,,,,,,variable,0.00,,,,N,Y,variable,,,Y,variable,,,Y,variable,,,Y
06050501-anklet,06050501,Anklet 06050501,5 Anklet Etc,<p>Silver925</p>,Y,,,,,,,185.00,138.75,2024060505013,,,Y,Y,185.00,2.000,1.000,Y,185.00,0.000,,Y,185.00,0.000,,Y
08150504-anklet,08150504,Anklet 08150504,5 Anklet Etc,<p>Silver925 FW Pearl</p>,Y,,,,,,,240.00,180.00,2024081505047,,,Y,Y,240.00,4.000,1.000,N,240.00,0.000,,Y,240.00,0.000,,Y
08150505-anklet,08150505,Anklet 08150505,5 Anklet Etc,<p>Silver925 Zircon</p>,Y,,,,,,,190.00,142.50,2024081505054,,,Y,Y,190.00,2.000,1.000,N,190.00,0.000,,Y,190.00,0.000,,Y
09150501-anklet,09150501,Anklet 09150501,5 Anklet Etc,<p>Titanium 18kGP</p>,Y,,,,,,,140.00,105.00,2024091505013,,,Y,Y,140.00,0.000,1.000,N,140.00,0.000,,Y,140.00,0.000,,Y
11150504-anklet,11150504,Anklet 11150504,5 Anklet Etc,<p>Titanium 18kGP Zircon</p>,Y,,,,,,,190.00,142.50,2024111505047,,,Y,Y,190.00,0.000,1.000,Y,190.00,0.000,1.000,Y,190.00,0.000,,Y
11150505-anklet,11150505,Anklet 11150505,5 Anklet Etc,<p>Titanium 18kGP Zircon</p>,Y,,,,,,,190.00,142.50,2024111505054,,,Y,Y,190.00,0.000,1.000,Y,190.00,0.000,1.000,Y,190.00,0.000,,Y
anklet-2502100501,2502100501,Anklet 2502100501,5 Anklet Etc,<p>Silver925</p>,Y,,,,,,,280.00,210.00,2025021005016,,,Y,Y,280.00,3.000,1.000,N,280.00,0.000,,Y,280.00,0.000,,Y
anklet-2506050502,2506050502,Anklet 2506050502,5 Anklet Etc,<p>Titanium 18kGP</p>,N,,,,,,,130.00,97.50,2025060505027,,,Y,Y,130.00,2.000,1.000,N,130.00,0.000,,Y,130.00,0.000,,Y
anklet-2506050503,2506050503,Anklet 2506050503,5 Anklet Etc,<p>SS 18kGP</p>,N,,,,,,,140.00,105.00,2025060505034,,,Y,Y,140.00,0.000,1.000,N,140.00,0.000,,Y,140.00,0.000,,Y
anklet-2506050504,2506050504,Anklet 2506050504,5 Anklet Etc,<p>SS 18kGP</p>,N,,,,,,,160.00,120.00,2025060505041,,,Y,Y,160.00,3.000,1.000,N,160.00,0.000,,Y,160.00,0.000,,Y
